participants,single_sig_length,agg_sig_length,compression_ratio
1,64,64,1.0
2,64,64,0.5
3,64,64,0.3333333333333333
4,64,64,0.25
5,64,64,0.2
6,64,64,0.16666666666666666
7,64,64,0.14285714285714285
8,64,64,0.125
9,64,64,0.1111111111111111
10,64,64,0.1
13,64,64,0.07692307692307693
15,64,64,0.06666666666666667
16,64,64,0.0625
19,64,64,0.05263157894736842
22,64,64,0.045454545454545456
25,64,64,0.04
28,64,64,0.03571428571428571
31,64,64,0.03225806451612903
34,64,64,0.029411764705882353
35,64,64,0.02857142857142857
37,64,64,0.02702702702702703
40,64,64,0.025
43,64,64,0.023255813953488372
45,64,64,0.022222222222222223
46,64,64,0.021739130434782608
49,64,64,0.02040816326530612
52,64,64,0.019230769230769232
55,64,64,0.01818181818181818
58,64,64,0.017241379310344827
61,64,64,0.01639344262295082
64,64,64,0.015625
65,64,64,0.015384615384615385
67,64,64,0.014925373134328358
70,64,64,0.014285714285714285
73,64,64,0.0136986301369863
75,64,64,0.013333333333333334
76,64,64,0.013157894736842105
79,64,64,0.012658227848101266
82,64,64,0.012195121951219513
85,64,64,0.011764705882352941
88,64,64,0.011363636363636364
91,64,64,0.01098901098901099
94,64,64,0.010638297872340425
95,64,64,0.010526315789473684
97,64,64,0.010309278350515464
100,64,64,0.01
120,64,64,0.008333333333333333
150,64,64,0.006666666666666667
180,64,64,0.005555555555555556
200,64,64,0.005
